Asset 1,Asset 2,t-stat,p-value,Cointegrated (5%),Involves ALI=F
AA,ALI=F,-4.0025,0.0071,True,True
FCX,PICK,-3.982,0.0076,True,False
RIO,XLB,-3.7637,0.0151,True,False
BHP,XLB,-3.4468,0.0374,True,False
BHP,FCX,-3.2485,0.0622,False,False
KALU,NEM,-3.1653,0.0759,False,False
KALU,RIO,-3.1323,0.082,False,False
KALU,NHYDY,-3.0929,0.0897,False,False
KALU,XLB,-3.0889,0.0906,False,False
KALU,PICK,-3.0519,0.0984,False,False
KALU,XME,-3.0461,0.0997,False,False
FCX,XLB,-2.9797,0.1151,False,False
FCX,RIO,-2.8934,0.1378,False,False
NHYDY,XME,-2.8262,0.1575,False,False
CENX,XLB,-2.8095,0.1627,False,False
CENX,FCX,-2.8037,0.1645,False,False
BHP,RIO,-2.7884,0.1694,False,False
PICK,XLB,-2.7838,0.1709,False,False
BHP,PICK,-2.7742,0.174,False,False
BHP,XME,-2.7529,0.1811,False,False
NHYDY,PICK,-2.7507,0.1819,False,False
CENX,PICK,-2.7257,0.1905,False,False
CENX,XME,-2.7011,0.1992,False,False
CSTM,PICK,-2.6984,0.2002,False,False
BHP,NHYDY,-2.6739,0.2091,False,False
CENX,RIO,-2.6655,0.2122,False,False
CSTM,RIO,-2.6609,0.2139,False,False
CSTM,NHYDY,-2.527,0.2673,False,False
CENX,NHYDY,-2.5188,0.2709,False,False
CSTM,FCX,-2.5174,0.2715,False,False
ALI=F,CENX,-2.5097,0.2748,False,True
ALI=F,NHYDY,-2.4713,0.2919,False,True
CENX,NEM,-2.4561,0.2988,False,False
ALI=F,XME,-2.4027,0.3236,False,True
RIO,XME,-2.3649,0.3416,False,False
ACH,CSTM,-2.354,0.3469,False,False
ACH,FCX,-2.3438,0.3519,False,False
ACH,PICK,-2.3307,0.3583,False,False
ACH,NEM,-2.3022,0.3725,False,False
NHYDY,XLB,-2.283,0.3821,False,False
FCX,NHYDY,-2.2796,0.3838,False,False
BHP,CSTM,-2.2674,0.3899,False,False
ALI=F,PICK,-2.2662,0.3905,False,True
PICK,RIO,-2.2655,0.3909,False,False
CSTM,NEM,-2.2579,0.3947,False,False
AA,NHYDY,-2.2508,0.3983,False,False
ALI=F,FCX,-2.2229,0.4126,False,True
CENX,CSTM,-2.2202,0.414,False,False
NHYDY,RIO,-2.2055,0.4216,False,False
PICK,XME,-2.1983,0.4252,False,False
ACH,CENX,-2.1936,0.4277,False,False
ALI=F,XLB,-2.16,0.4451,False,True
ACH,RIO,-2.1218,0.465,False,False
AA,ACH,-2.0868,0.4833,False,False
CENX,KALU,-2.078,0.4879,False,False
ACH,ALI=F,-2.0662,0.494,False,True
XLB,XME,-2.0542,0.5003,False,False
AA,PICK,-2.0457,0.5048,False,False
ACH,NHYDY,-2.0202,0.5181,False,False
AA,XLB,-1.9869,0.5354,False,False
AA,BHP,-1.983,0.5374,False,False
NEM,RIO,-1.9754,0.5413,False,False
AA,FCX,-1.9683,0.545,False,False
AA,XME,-1.9671,0.5456,False,False
BHP,CENX,-1.967,0.5457,False,False
CSTM,XME,-1.9656,0.5464,False,False
ACH,BHP,-1.9506,0.5541,False,False
CSTM,XLB,-1.9464,0.5563,False,False
AA,RIO,-1.9263,0.5666,False,False
ALI=F,RIO,-1.8963,0.5819,False,True
ALI=F,BHP,-1.8949,0.5826,False,True
NEM,NHYDY,-1.8891,0.5855,False,False
FCX,XME,-1.8751,0.5926,False,False
ALI=F,CSTM,-1.8537,0.6033,False,True
ACH,XLB,-1.8502,0.6051,False,False
CSTM,KALU,-1.8383,0.6109,False,False
NEM,PICK,-1.8326,0.6138,False,False
NEM,XLB,-1.8087,0.6255,False,False
BHP,KALU,-1.7772,0.6407,False,False
ALI=F,KALU,-1.7465,0.6553,False,True
NEM,XME,-1.7382,0.6592,False,False
AA,CSTM,-1.7174,0.6689,False,False
AA,NEM,-1.6781,0.6868,False,False
ALI=F,NEM,-1.6757,0.6879,False,True
BHP,NEM,-1.6555,0.6969,False,False
ACH,XME,-1.6253,0.7101,False,False
AA,KALU,-1.5404,0.7454,False,False
ACH,KALU,-1.4977,0.7621,False,False
AA,CENX,-1.4514,0.7794,False,False
FCX,NEM,-1.0309,0.8968,False,False
FCX,KALU,-0.6865,0.9481,False,False
