Date,zscore
2018-01-02,
2018-01-03,
2018-01-04,
2018-01-05,
2018-01-08,
2018-01-09,
2018-01-10,
2018-01-11,
2018-01-12,
2018-01-15,
2018-01-16,
2018-01-17,
2018-01-18,
2018-01-19,
2018-01-22,
2018-01-23,
2018-01-24,
2018-01-25,
2018-01-26,
2018-01-29,
2018-01-30,
2018-01-31,
2018-02-01,
2018-02-02,
2018-02-05,
2018-02-06,
2018-02-07,
2018-02-08,
2018-02-09,
2018-02-12,
2018-02-13,
2018-02-14,
2018-02-15,
2018-02-16,
2018-02-19,
2018-02-20,
2018-02-21,
2018-02-22,
2018-02-23,
2018-02-26,
2018-02-27,
2018-02-28,
2018-03-01,
2018-03-02,
2018-03-05,
2018-03-06,
2018-03-07,
2018-03-08,
2018-03-09,
2018-03-12,
2018-03-13,
2018-03-14,
2018-03-15,
2018-03-16,
2018-03-19,
2018-03-20,
2018-03-21,
2018-03-22,
2018-03-23,
2018-03-26,-1.0970508845158602
2018-03-27,-1.2916682483052273
2018-03-28,-1.4477030203111656
2018-03-29,-1.2572600042668116
2018-04-02,-1.9319428016159854
2018-04-03,-1.601508371727526
2018-04-04,-1.152963492278686
2018-04-05,-0.9497148014462405
2018-04-06,-0.8135547574644064
2018-04-09,-0.10987955663216656
2018-04-10,0.8378021096051709
2018-04-11,0.8706419299915943
2018-04-12,1.089865619608129
2018-04-13,1.2506540568146671
2018-04-16,1.2950892480027936
2018-04-17,1.8633704297883207
2018-04-18,2.402669089832282
2018-04-19,2.522994940387047
2018-04-20,2.3882644427435045
2018-04-23,0.3305257316886285
2018-04-24,0.0543488972041946
2018-04-25,0.4188878708529457
2018-04-26,0.7350515233947428
2018-04-27,0.35508851982144907
2018-04-30,0.23445881228964568
2018-05-01,0.47963859823223715
2018-05-02,0.8082136468989723
2018-05-03,0.85315042041317
2018-05-04,1.1454569457861292
2018-05-07,1.152614434644904
2018-05-08,0.8955801104277942
2018-05-09,0.7959579185367841
2018-05-10,0.8669828366973127
2018-05-11,0.8928528405941879
2018-05-14,0.4093609090365032
2018-05-15,-0.12782461514938434
2018-05-16,-0.23034411931802057
2018-05-17,-0.0726873887636466
2018-05-18,-0.03545064148400289
2018-05-21,-0.1795641430579284
2018-05-22,-0.3897251664729754
2018-05-23,-0.7393978172463838
2018-05-24,-0.5696901263890681
2018-05-25,-0.9635932875063784
2018-05-28,-0.962046948961097
2018-05-29,-1.1570004058605734
2018-05-30,-0.8380714115140254
2018-05-31,-0.9656716922689058
2018-06-01,-1.0780315618204337
2018-06-04,-0.8034534996544122
2018-06-05,-0.48878514150171176
2018-06-06,-0.2763953619192314
2018-06-07,-0.5586224515438101
2018-06-08,-0.7546261544832632
2018-06-11,-0.3284613733169682
2018-06-12,-0.5184168205317395
2018-06-13,-0.7981227485717866
2018-06-14,-0.9333428447830705
2018-06-15,-1.6849220217082301
2018-06-18,-1.5184846433525916
2018-06-19,-1.862870963580651
2018-06-20,-1.5775789949090062
2018-06-21,-1.6829738706831976
2018-06-22,-1.4327970756009583
2018-06-25,-1.813853582364353
2018-06-26,-1.358867370919952
2018-06-27,-1.3581863823580085
2018-06-28,-1.1979958086564853
2018-06-29,-1.0672208602482547
2018-07-02,-1.3061281867630783
2018-07-03,-1.2822938895135019
2018-07-04,-1.2382489451073369
2018-07-05,-0.9101179776389382
2018-07-06,-0.8109642215429801
2018-07-09,-0.4758834794972738
2018-07-10,-0.5593704366073532
2018-07-11,-0.4875043151492458
2018-07-12,-0.6717312317064824
2018-07-13,-0.7120295220741818
2018-07-16,-0.6347695776933779
2018-07-17,-0.4031003933686006
2018-07-18,-0.40232658851143543
2018-07-19,-2.636015239703353
2018-07-20,-2.8604357309667487
2018-07-23,-2.329561179725062
2018-07-24,-1.8417032013155041
2018-07-25,-1.5789578121613994
2018-07-26,-1.6193719101798763
2018-07-27,-1.4516403892292102
2018-07-30,-1.698258799069288
2018-07-31,-1.4287782452389726
2018-08-01,-1.8036298526695103
2018-08-02,-1.6130149619331442
2018-08-03,-1.503531245754896
